"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di eta","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023","2023",21.083284,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024","2024",19.171425,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023-Q1","T1-2023",21.504532,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023-Q2","T2-2023",20.567988,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023-Q3","T3-2023",20.479328,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023-Q4","T4-2023",21.798453,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024-Q1","T1-2024",19.918616,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024-Q2","T2-2024",19.111903,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024-Q3","T3-2024",18.238955,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024-Q4","T4-2024",19.401307,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023","2023",25.232824,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024","2024",22.195369,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023-Q1","T1-2023",25.534479,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023-Q2","T2-2023",24.489531,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023-Q3","T3-2023",23.542801,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023-Q4","T4-2023",27.283347,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024-Q1","T1-2024",26.780727,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024-Q2","T2-2024",21.898372,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024-Q3","T3-2024",17.561316,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024-Q4","T4-2024",22.655989,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2023","2023",22.725872,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2024","2024",20.316079,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2023-Q1","T1-2023",23.091795,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2023-Q2","T2-2023",22.108143,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2023-Q3","T3-2023",21.680081,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2023-Q4","T4-2023",24.018567,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2024-Q1","T1-2024",22.457408,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2024-Q2","T2-2024",20.196836,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2024-Q3","T3-2024",17.981181,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2024-Q4","T4-2024",20.620026,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023","2023",14.992794,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024","2024",12.440575,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023-Q1","T1-2023",13.410669,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023-Q2","T2-2023",15.779963,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023-Q3","T3-2023",15.352873,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023-Q4","T4-2023",15.368121,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024-Q1","T1-2024",11.108906,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024-Q2","T2-2024",13.42853,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024-Q3","T3-2024",12.529778,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024-Q4","T4-2024",12.790724,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023","2023",17.175068,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024","2024",14.821131,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023-Q1","T1-2023",18.0106,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023-Q2","T2-2023",17.486108,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023-Q3","T3-2023",16.026338,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023-Q4","T4-2023",17.196963,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024-Q1","T1-2024",18.34423,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024-Q2","T2-2024",14.203314,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024-Q3","T3-2024",9.90503,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024-Q4","T4-2024",16.621189,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2023","2023",15.895709,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2024","2024",13.353512,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2023-Q1","T1-2023",15.313045,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2023-Q2","T2-2023",16.480436,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2023-Q3","T3-2023",15.632552,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2023-Q4","T4-2023",16.128308,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2024-Q1","T1-2024",13.873407,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2024-Q2","T2-2024",13.73384,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2024-Q3","T3-2024",11.54911,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2024-Q4","T4-2024",14.26316,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023","2023",16.790498,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024","2024",14.073493,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023-Q1","T1-2023",15.549002,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023-Q2","T2-2023",17.860214,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023-Q3","T3-2023",17.385987,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023-Q4","T4-2023",16.225308,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024-Q1","T1-2024",12.506324,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024-Q2","T2-2024",14.98296,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024-Q3","T3-2024",12.11058,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024-Q4","T4-2024",16.699038,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023","2023",17.330186,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024","2024",16.227215,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023-Q1","T1-2023",18.111437,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023-Q2","T2-2023",17.111804,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023-Q3","T3-2023",15.697258,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023-Q4","T4-2023",18.373188,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024-Q1","T1-2024",19.482806,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024-Q2","T2-2024",15.86274,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024-Q3","T3-2024",10.871923,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024-Q4","T4-2024",18.293478,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2023","2023",17.013906,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2024","2024",14.918223,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2023-Q1","T1-2023",16.617204,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2023-Q2","T2-2023",17.553972,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2023-Q3","T3-2023",16.704064,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2023-Q4","T4-2023",17.144653,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2024-Q1","T1-2024",15.32828,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2024-Q2","T2-2024",15.337574,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2024-Q3","T3-2024",11.646277,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2024-Q4","T4-2024",17.315707,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023","2023",12.791323,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024","2024",10.326601,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023-Q1","T1-2023",10.939948,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023-Q2","T2-2023",13.156763,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023-Q3","T3-2023",12.709065,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023-Q4","T4-2023",14.351985,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024-Q1","T1-2024",9.479858,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024-Q2","T2-2024",11.449168,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024-Q3","T3-2024",13.084786,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024-Q4","T4-2024",7.171868,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023","2023",16.983952,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024","2024",12.837419,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023-Q1","T1-2023",17.890585,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023-Q2","T2-2023",17.952222,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023-Q3","T3-2023",16.411812,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023-Q4","T4-2023",15.632954,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024-Q1","T1-2024",16.697714,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024-Q2","T2-2024",11.900868,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024-Q3","T3-2024",8.609238,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024-Q4","T4-2024",14.157202,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2023","2023",14.522696,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2024","2024",11.260193,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2023-Q1","T1-2023",13.787301,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2023-Q2","T2-2023",15.133547,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2023-Q3","T3-2023",14.299716,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2023-Q4","T4-2023",14.865014,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2024-Q1","T1-2024",12.032772,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2024-Q2","T2-2024",11.621989,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2024-Q3","T3-2024",11.419877,,
"ITD","Nord-est","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2024-Q4","T4-2024",9.833105,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023","2023",17.600493,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024","2024",16.0518,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023-Q1","T1-2023",20.326899,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023-Q2","T2-2023",15.757184,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023-Q3","T3-2023",13.682798,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023-Q4","T4-2023",20.865502,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024-Q1","T1-2024",15.816876,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024-Q2","T2-2024",16.458907,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024-Q3","T3-2024",14.9894,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024-Q4","T4-2024",17.077541,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023","2023",22.434627,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024","2024",21.169801,,
